Transaction_date,Product,Price,Payment_Type,Name,City,State,Country
1/2/09,Product1,1200,Mastercard,carolina,Basildon,England,United Kingdom
1/2/09,Product1,1200,Visa,Betina,Parkville,MO,United States
1/2/09,Product1,1200,Mastercard,Federica e Andrea,Astoria,OR,United States
1/3/09,Product1,1200,Visa,Gouya,Echuca,Victoria,Australia
1/4/09,Product2,3600,Visa,Gerd W ,Cahaba Heights,AL,United States
1/4/09,Product1,1200,Visa,LAURENCE,Mickleton,NJ,United States
1/4/09,Product1,1200,Mastercard,Fleur,Peoria,IL,United States
1/2/09,Product1,1200,Mastercard,adam,Martin,TN,United States
1/4/09,Product1,1200,Mastercard,Renee Elisabeth,Tel Aviv,Tel Aviv,Israel
1/4/09,Product1,1200,Visa,Aidan,Chatou,Ile-de-France,France
1/5/09,Product1,1200,Diners,Stacy,New York,NY,United States
1/5/09,Product1,1200,Amex,Heidi,Eindhoven,Noord-Brabant,Netherlands
1/2/09,Product1,1200,Mastercard,Sean ,Shavano Park,TX,United States
1/5/09,Product1,1200,Visa,Georgia,Eagle,ID,United StatesP
1/2/09,Product1,1200,Visa,Richard,Riverside,NJ,United States
1/4/09,Product1,1200,Diners,Leanne,Julianstown,Meath,Ireland
1/5/09,Product1,1200,Visa,Janet,Ottawa,Ontario,Canada
1/6/09,Product1,1200,Diners,barbara,Hyderabad,Andhra Pradesh,India
1/6/09,Product2,3600,Visa,Sabine,London,England,United Kingdom
1/2/09,Product1,1200,Diners,Hani,Salt Lake City,UT,United States
1/6/09,Product1,1200,Visa,Jeremy,Manchester,England,United Kingdom
1/1/09,Product1,1200,Diners,Janis,Ballynora,Cork,Ireland
1/5/09,Product1,1200,Mastercard,Nicola,Roodepoort,Gauteng,South Africa
1/6/09,Product1,1200,Visa,asuman,Chula Vista,CA,United States
1/2/09,Product1,1200,Mastercard,Lena,Kuopio,Ita-Suomen Laani,Finland
1/1/09,Product1,1200,Visa,Lisa,Sugar Land,TX,United States
1/7/09,Product1,1200,Diners,Bryan Kerrene,New York,NY,United States
1/2/09,Product1,1200,Visa,chris,London,England,United Kingdom
1/1/09,Product1,1200,Visa,Maxine,Morton,IL,United States
